id,Podcast_Name,Episode_Title,Episode_Length_minutes,Genre,Host_Popularity_percentage,Publication_Day,Publication_Time,Guest_Popularity_percentage,Number_of_Ads,Episode_Sentiment,Listening_Time_minutes
4863,Lifestyle Lounge,Episode 48,47.02,Lifestyle,74.74,Thursday,Night,56.21,1.0,Positive,34.09
4864,Gadget Geek,Episode 52,118.19,Technology,96.28,Friday,Afternoon,66.47,0.0,Positive,70.42462
4865,Global News,Episode 57,7.15,News,39.25,Sunday,Afternoon,52.58,2.0,Negative,3.9756
4866,Comedy Corner,Episode 31,48.93,Comedy,58.09,Saturday,Afternoon,,1.0,Negative,38.38
4867,Brain Boost,Episode 89,119.22,Education,92.15,Sunday,Morning,61.96,1.0,Negative,92.81246
4868,Sports Central,Episode 76,99.17,Sports,59.86,Thursday,Night,43.18,2.0,Negative,90.89614
4869,Criminal Minds,Episode 15,,True Crime,20.49,Thursday,Afternoon,,0.0,Neutral,35.01582
4870,Fashion Forward,Episode 87,15.93,Lifestyle,45.32,Saturday,Evening,,1.0,Negative,7.62162
4871,Athlete's Arena,Episode 31,64.66,Sports,39.19,Thursday,Afternoon,81.04,1.0,Negative,50.39
4872,Crime Chronicles,Episode 22,68.3,True Crime,78.47,Saturday,Evening,59.49,0.0,Positive,43.33125
4873,Learning Lab,Episode 72,86.42,Education,90.48,Wednesday,Night,80.22,0.0,Neutral,71.60758
4874,Fitness First,Episode 26,55.12,Health,29.94,Wednesday,Evening,12.7,1.0,Positive,38.43346
4875,World Watch,Episode 24,66.99,News,75.79,Monday,Afternoon,54.84,3.0,Neutral,33.16662
4876,Tune Time,Episode 92,75.75,Music,81.08,Saturday,Afternoon,78.49,3.0,Negative,66.29823
4877,True Crime Stories,Episode 87,28.03,True Crime,88.92,Monday,Morning,,1.0,Neutral,20.18938
4878,Funny Folks,Episode 79,36.4,Comedy,83.94,Thursday,Morning,46.78,2.0,Neutral,14.82941
4879,Study Sessions,Episode 99,31.79,Education,56.53,Sunday,Evening,,3.0,Negative,11.06
4880,Athlete's Arena,Episode 48,29.19,Sports,73.98,Monday,Morning,65.13,3.0,Neutral,16.67
4881,Sports Weekly,Episode 96,66.9,Sports,58.25,Saturday,Evening,72.96,2.0,Negative,42.85301
4882,Style Guide,Episode 74,111.73,Lifestyle,22.87,Tuesday,Evening,75.45,3.0,Negative,74.75496
4883,Laugh Line,Episode 11,113.67,Comedy,26.32,Tuesday,Morning,,3.0,Negative,102.81
4884,Health Hour,Episode 91,85.25,Health,29.72,Wednesday,Evening,,2.0,Negative,58.61222
4885,Healthy Living,Episode 63,54.35,Health,88.06,Friday,Afternoon,,2.0,Negative,42.71249
4886,Fashion Forward,Episode 62,17.89,Lifestyle,30.86,Saturday,Night,30.06,1.0,Negative,9.56648
4887,Learning Lab,Episode 8,30.83,Education,68.11,Wednesday,Morning,,1.0,Neutral,27.36743
4888,Style Guide,Episode 59,73.58,Lifestyle,48.41,Saturday,Night,23.69,3.0,Negative,51.68465
4889,Tech Talks,Episode 71,44.66,Technology,67.65,Monday,Morning,,1.0,Negative,21.57779
4890,Detective Diaries,Episode 29,73.64,True Crime,49.72,Wednesday,Night,81.97,0.0,Neutral,61.9847
4891,Tech Talks,Episode 67,72.66,Technology,30.54,Thursday,Evening,,0.0,Positive,53.10988
4892,Finance Focus,Episode 73,59.21,Business,82.98,Wednesday,Night,,2.0,Neutral,53.23361
4893,Lifestyle Lounge,Episode 54,81.49,Lifestyle,22.97,Sunday,Evening,58.05,3.0,Positive,47.48991
4894,Innovators,Episode 52,20.11,Technology,96.92,Wednesday,Morning,,1.0,Negative,15.05
4895,Mystery Matters,Episode 58,86.0,True Crime,31.84,Saturday,Night,29.69,0.0,Negative,76.08
4896,Sports Weekly,Episode 18,86.35,Sports,92.16,Thursday,Morning,,0.0,Neutral,45.36848
4897,Healthy Living,Episode 99,47.41,Health,46.83,Sunday,Afternoon,46.15,2.0,Neutral,38.48631
4898,Joke Junction,Episode 81,70.49,Comedy,80.48,Thursday,Afternoon,24.22,0.0,Negative,66.8073
4899,Fashion Forward,Episode 94,99.51,Lifestyle,37.15,Saturday,Evening,,2.0,Negative,75.87236
4900,Tech Talks,Episode 69,101.77,Technology,93.56,Tuesday,Afternoon,92.3,2.0,Positive,53.57892
4901,World Watch,Episode 28,96.36,News,95.8,Monday,Night,,3.0,Neutral,72.14653
4902,Comedy Corner,Episode 51,62.9,Comedy,94.69,Wednesday,Afternoon,74.88,0.0,Positive,48.62205
4903,Sports Weekly,Episode 63,89.33,Sports,64.56,Friday,Afternoon,95.36,1.0,Negative,52.07753
4904,News Roundup,Episode 7,,News,36.41,Thursday,Morning,64.57,2.0,Positive,46.92575
4905,Laugh Line,Episode 98,109.47,Comedy,39.08,Friday,Evening,81.73,0.0,Positive,75.70176
4906,Global News,Episode 68,102.68,News,21.76,Friday,Evening,2.45,0.0,Positive,61.85231
4907,World Watch,Episode 91,82.73,News,78.97,Tuesday,Afternoon,60.88,0.0,Negative,67.81764
4908,Fitness First,Episode 58,79.54,Health,55.39,Friday,Afternoon,,1.0,Neutral,55.73278
4909,Learning Lab,Episode 64,,Education,48.77,Tuesday,Afternoon,71.34,0.0,Negative,71.62606
4910,Sport Spot,Episode 84,117.24,Sports,42.18,Wednesday,Night,,0.0,Neutral,98.28272
4911,Business Insights,Episode 26,81.67,Business,68.44,Wednesday,Afternoon,,3.0,Neutral,40.15562
4912,Funny Folks,Episode 69,14.24,Comedy,86.1,Friday,Afternoon,32.04,0.0,Neutral,10.41153
4913,Fashion Forward,Episode 39,,Lifestyle,70.46,Monday,Morning,15.67,1.0,Neutral,30.64147
4914,Health Hour,Episode 27,49.0,Health,56.05,Wednesday,Morning,46.64,3.0,Neutral,23.93586
4915,Fitness First,Episode 65,,Health,27.02,Monday,Evening,85.2,1.0,Neutral,26.45831
4916,Detective Diaries,Episode 58,70.22,True Crime,88.55,Tuesday,Night,,0.0,Neutral,55.33438
4917,Melody Mix,Episode 25,23.55,Music,72.45,Friday,Afternoon,12.24,1.0,Neutral,19.43886
4918,Business Insights,Episode 38,30.72,Business,66.89,Sunday,Evening,,2.0,Neutral,16.18672
4919,Finance Focus,Episode 58,80.82,Business,29.63,Friday,Night,65.57,3.0,Neutral,59.82
4920,Fitness First,Episode 67,112.28,Health,40.46,Wednesday,Evening,54.81,3.0,Neutral,58.6223
4921,Digital Digest,Episode 69,111.05,Technology,38.66,Saturday,Morning,87.0,2.0,Negative,82.02593
4922,Fitness First,Episode 28,7.02,Health,94.71,Tuesday,Morning,43.28,1.0,Negative,0.0
4923,Money Matters,Episode 34,95.29,Business,76.76,Monday,Morning,18.23,1.0,Neutral,61.66
4924,Tech Trends,Episode 30,60.39,Technology,40.72,Monday,Morning,,3.0,Negative,42.45761
4925,Tech Trends,Episode 34,54.57,Technology,79.13,Sunday,Evening,,1.0,Negative,37.2
4926,Laugh Line,Episode 35,54.81,Comedy,72.07,Friday,Night,19.34,0.0,Neutral,33.83083
4927,Tech Talks,Episode 49,62.59,Technology,71.6,Saturday,Night,54.71,1.0,Neutral,49.37889
4928,Tune Time,Episode 40,40.14,Music,58.14,Monday,Evening,33.1,2.0,Negative,19.97402
4929,Tech Talks,Episode 59,98.84,Technology,78.28,Tuesday,Morning,,0.0,Neutral,72.25905
4930,Fashion Forward,Episode 82,18.68,Lifestyle,46.62,Friday,Afternoon,73.11,0.0,Neutral,9.60684
4931,True Crime Stories,Episode 100,85.48,True Crime,78.58,Sunday,Night,78.75,1.0,Positive,57.48241
4932,Music Matters,Episode 80,95.75,Music,82.09,Thursday,Evening,37.46,2.0,Positive,57.10941
4933,Tech Talks,Episode 46,82.91,Technology,33.04,Tuesday,Night,,0.0,Negative,82.00316
4934,Gadget Geek,Episode 2,,Technology,95.6,Friday,Evening,35.7,2.0,Neutral,74.02851
4935,Business Briefs,Episode 42,111.03,Business,59.03,Wednesday,Morning,16.1,1.0,Negative,82.43688
4936,Gadget Geek,Episode 78,83.95,Technology,99.54,Thursday,Afternoon,64.56,0.0,Positive,74.76451
4937,Wellness Wave,Episode 45,54.58,Health,87.77,Thursday,Morning,93.61,0.0,Positive,48.37553
4938,Fitness First,Episode 58,93.96,Health,92.28,Sunday,Afternoon,10.92,3.0,Positive,69.80613
4939,Fashion Forward,Episode 51,66.93,Lifestyle,98.23,Friday,Night,49.11,0.0,Negative,47.82233
4940,Fitness First,Episode 52,33.67,Health,67.53,Thursday,Afternoon,67.97,0.0,Negative,24.55528
4941,Funny Folks,Episode 65,,Comedy,25.59,Saturday,Morning,72.78,0.0,Positive,17.00401
4942,True Crime Stories,Episode 99,118.67,True Crime,84.99,Tuesday,Evening,3.91,2.0,Neutral,77.5659
4943,Tech Talks,Episode 84,31.75,Technology,28.49,Tuesday,Morning,50.43,0.0,Neutral,18.66
4944,Melody Mix,Episode 91,,Music,56.17,Friday,Morning,78.61,0.0,Positive,74.23211
4945,Game Day,Episode 68,56.4,Sports,45.69,Tuesday,Afternoon,69.49,1.0,Negative,31.36
4946,Learning Lab,Episode 38,28.12,Education,48.34,Wednesday,Night,25.86,0.0,Neutral,24.50897
4947,Game Day,Episode 71,100.83,Sports,47.3,Monday,Night,4.0,2.0,Positive,65.79221
4948,Style Guide,Episode 31,86.08,Lifestyle,34.36,Friday,Night,39.29,0.0,Positive,68.9587
4949,True Crime Stories,Episode 69,85.74,True Crime,41.44,Wednesday,Evening,54.48,0.0,Neutral,61.96328
4950,Wellness Wave,Episode 86,99.13,Health,47.55,Tuesday,Night,64.97,0.0,Negative,70.21802
4951,Crime Chronicles,Episode 77,16.5,True Crime,80.86,Saturday,Evening,30.54,0.0,Neutral,7.25168
4952,Fashion Forward,Episode 27,9.36,Lifestyle,30.54,Monday,Night,3.68,2.0,Neutral,6.49
4953,Humor Hub,Episode 53,106.8,Comedy,62.61,Friday,Night,91.75,3.0,Positive,52.78
4954,Funny Folks,Episode 63,18.2,Comedy,42.14,Monday,Morning,79.64,1.0,Neutral,3.38412
4955,Joke Junction,Episode 30,52.28,Comedy,80.8,Wednesday,Afternoon,76.8,2.0,Negative,48.17823
4956,True Crime Stories,Episode 68,45.2,True Crime,43.2,Wednesday,Afternoon,81.08,1.0,Negative,30.92499
4957,Tech Trends,Episode 72,37.23,Technology,94.67,Monday,Evening,51.75,3.0,Negative,20.41675
4958,Life Lessons,Episode 29,22.03,Lifestyle,73.72,Monday,Afternoon,22.66,3.0,Positive,10.59
4959,Fitness First,Episode 27,107.62,Health,41.2,Wednesday,Evening,13.75,3.0,Neutral,77.14885
4960,Finance Focus,Episode 42,16.69,Business,33.54,Sunday,Night,1.89,0.0,Positive,8.98534
4961,Sports Weekly,Episode 57,61.15,Sports,91.65,Thursday,Evening,97.97,0.0,Neutral,46.52911
4962,Tech Talks,Episode 35,114.26,Technology,22.82,Friday,Evening,78.69,3.0,Positive,110.4857
4963,Tech Trends,Episode 37,100.99,Technology,47.65,Sunday,Morning,79.29,3.0,Positive,92.56705
4964,Tech Trends,Episode 65,86.3,Technology,78.56,Friday,Afternoon,92.5,1.0,Neutral,68.63719
4965,Life Lessons,Episode 55,34.4,Lifestyle,63.76,Friday,Morning,88.51,3.0,Negative,26.28
4966,Fashion Forward,Episode 6,44.33,Lifestyle,39.2,Sunday,Night,44.83,2.0,Neutral,32.31656
4967,Sports Weekly,Episode 74,73.73,Sports,73.66,Wednesday,Night,91.28,1.0,Neutral,39.88257
4968,Health Hour,Episode 71,28.3,Health,83.35,Wednesday,Night,69.14,0.0,Neutral,9.98
4969,Funny Folks,Episode 35,90.18,Comedy,65.35,Wednesday,Evening,,0.0,Negative,47.16388
4970,Brain Boost,Episode 70,109.36,Education,66.8,Friday,Afternoon,84.85,3.0,Negative,84.26518
4971,Tech Talks,Episode 38,,Technology,40.91,Thursday,Afternoon,,3.0,Neutral,54.12247
4972,Funny Folks,Episode 33,119.91,Comedy,75.43,Monday,Night,29.73,1.0,Neutral,116.38485
4973,Daily Digest,Episode 1,42.34,News,38.74,Thursday,Night,20.23,3.0,Neutral,37.0033
4974,Melody Mix,Episode 63,,Music,78.72,Tuesday,Afternoon,78.54,1.0,Positive,16.46424
4975,Finance Focus,Episode 68,119.22,Business,94.81,Tuesday,Morning,,0.0,Neutral,92.28648
4976,Mystery Matters,Episode 81,52.53,True Crime,99.89,Sunday,Morning,,2.0,Negative,31.88735
4977,Tech Trends,Episode 13,43.21,Technology,33.12,Friday,Afternoon,61.71,2.0,Positive,29.18363
4978,Daily Digest,Episode 79,105.36,News,27.61,Wednesday,Afternoon,59.09,3.0,Neutral,54.51
4979,Money Matters,Episode 89,65.84,Business,33.37,Tuesday,Morning,29.27,0.0,Positive,38.51895
4980,Athlete's Arena,Episode 2,30.16,Sports,47.27,Monday,Night,1.55,0.0,Negative,27.07187
4981,Joke Junction,Episode 49,46.19,Comedy,57.85,Monday,Morning,62.84,2.0,Negative,41.63881
4982,Innovators,Episode 54,,Sports,61.87,Wednesday,Evening,56.89,0.0,Positive,49.40805
4983,World Watch,Episode 86,101.51,News,85.22,Monday,Night,,1.0,Neutral,75.21457
4984,Tech Talks,Episode 71,96.87,Technology,87.64,Monday,Evening,13.6,1.0,Positive,87.34471
4985,Game Day,Episode 12,50.76,Sports,86.71,Thursday,Night,89.47,2.0,Positive,32.89619
4986,Brain Boost,Episode 100,71.76,Education,89.31,Saturday,Night,,1.0,Neutral,55.99309
4987,Laugh Line,Episode 76,,Comedy,47.89,Friday,Night,25.74,2.0,Positive,74.63585
4988,Laugh Line,Episode 99,60.3,Comedy,96.29,Tuesday,Evening,88.72,0.0,Positive,47.41398
4989,Game Day,Episode 1,29.74,Sports,26.07,Monday,Morning,29.76,0.0,Negative,24.2805
4990,Tech Talks,Episode 70,39.61,Technology,57.7,Thursday,Evening,84.24,3.0,Positive,31.69524
4991,Study Sessions,Episode 35,76.61,Sports,63.57,Sunday,Afternoon,75.98,2.0,Negative,60.98648
4992,Sound Waves,Episode 4,115.13,Music,32.48,Friday,Night,40.96,0.0,Positive,67.10973
4993,Athlete's Arena,Episode 75,93.24,Sports,20.09,Sunday,Evening,60.09,2.0,Negative,70.06768
4994,Health Hour,Episode 89,32.68,Health,65.61,Friday,Evening,65.16,0.0,Positive,24.80987
4995,Joke Junction,Episode 49,81.79,Comedy,38.3,Thursday,Night,20.14,1.0,Negative,52.06986
4996,Fitness First,Episode 29,109.77,Health,81.54,Friday,Morning,97.53,3.0,Neutral,49.05718
4997,Educational Nuggets,Episode 99,50.27,Education,50.19,Friday,Evening,55.51,0.0,Negative,22.2781
4998,Funny Folks,Episode 69,107.6,Comedy,58.32,Wednesday,Afternoon,46.49,1.0,Neutral,59.85
4999,Tech Trends,Episode 79,117.84,Technology,43.91,Tuesday,Night,72.73,1.0,Positive,105.12
5000,Comedy Corner,Episode 88,44.25,Comedy,80.34,Thursday,Afternoon,41.29,2.0,Negative,29.74896
5001,Lifestyle Lounge,Episode 16,44.04,Lifestyle,77.42,Tuesday,Night,,3.0,Positive,29.12002
5002,Wellness Wave,Episode 80,111.91,Health,75.31,Saturday,Morning,,2.0,Negative,66.82881
5003,Money Matters,Episode 48,101.85,Business,47.97,Sunday,Evening,47.19,1.0,Neutral,71.34178
5004,Learning Lab,Episode 6,119.9,Education,46.59,Monday,Night,7.32,1.0,Neutral,94.49082
5005,Market Masters,Episode 10,81.13,Business,58.04,Friday,Morning,63.55,0.0,Negative,56.12867
5006,Global News,Episode 35,96.26,News,98.84,Thursday,Evening,76.68,0.0,Positive,96.15601
5007,Educational Nuggets,Episode 28,60.37,Education,26.11,Sunday,Morning,83.84,0.0,Negative,41.478
5008,Money Matters,Episode 42,117.75,Business,52.84,Tuesday,Morning,47.49,2.0,Positive,107.06483
5009,Fashion Forward,Episode 30,101.02,Lifestyle,63.37,Monday,Morning,93.27,0.0,Positive,96.48699
5010,Digital Digest,Episode 17,101.92,Technology,86.82,Wednesday,Afternoon,,0.0,Negative,83.19523
5011,Tech Talks,Episode 65,68.0,Technology,42.78,Friday,Afternoon,,0.0,Neutral,54.34548
5012,Tune Time,Episode 60,47.41,Music,95.63,Saturday,Night,33.57,1.0,Neutral,38.97642
5013,Market Masters,Episode 25,44.03,Business,23.01,Friday,Morning,24.71,3.0,Negative,22.49391
5014,Game Day,Episode 22,,Sports,35.33,Thursday,Evening,13.09,2.0,Negative,49.39229
5015,Joke Junction,Episode 28,87.82,Comedy,79.34,Friday,Morning,17.19,3.0,Neutral,75.46762
5016,Sports Weekly,Episode 53,37.92,Sports,53.82,Tuesday,Night,5.63,3.0,Positive,29.2353
5017,Study Sessions,Episode 54,44.32,Education,25.61,Sunday,Evening,,2.0,Negative,22.97804
5018,Gadget Geek,Episode 87,39.08,Technology,29.29,Thursday,Evening,75.24,1.0,Neutral,26.77
5019,Funny Folks,Episode 63,39.74,Comedy,86.69,Saturday,Morning,39.15,1.0,Neutral,33.83912
5020,Educational Nuggets,Episode 75,82.19,Education,54.13,Friday,Evening,79.43,3.0,Positive,57.66893
5021,Business Briefs,Episode 5,14.46,Business,45.33,Thursday,Evening,,0.0,Negative,2.5476
5022,Fashion Forward,Episode 57,110.03,Lifestyle,50.69,Wednesday,Evening,97.72,1.0,Neutral,54.44526
5023,Game Day,Episode 23,26.8,Sports,75.69,Thursday,Afternoon,88.68,0.0,Negative,22.43
5024,Funny Folks,Episode 28,103.76,Comedy,32.38,Wednesday,Morning,59.88,0.0,Neutral,51.605
5025,Mystery Matters,Episode 10,119.79,True Crime,61.11,Saturday,Morning,41.46,3.0,Positive,74.60746
5026,Mystery Matters,Episode 93,89.68,True Crime,38.36,Thursday,Morning,40.36,3.0,Neutral,62.21105
5027,Comedy Corner,Episode 50,41.14,Comedy,60.3,Friday,Night,78.7,1.0,Negative,21.21194
5028,Criminal Minds,Episode 61,79.33,True Crime,89.96,Monday,Evening,97.47,3.0,Negative,54.61897
5029,Sport Spot,Episode 85,33.24,Sports,82.92,Monday,Afternoon,18.91,2.0,Positive,26.86173
5030,Detective Diaries,Episode 61,48.99,True Crime,77.02,Tuesday,Afternoon,,3.0,Neutral,45.47583
5031,True Crime Stories,Episode 30,19.31,True Crime,44.69,Monday,Morning,,0.0,Positive,10.32587
5032,Criminal Minds,Episode 74,52.19,True Crime,61.6,Wednesday,Evening,36.73,0.0,Negative,37.22531
5033,Market Masters,Episode 58,31.49,Business,27.69,Monday,Night,99.14,0.0,Negative,13.4
5034,Mind & Body,Episode 39,33.83,Health,56.06,Saturday,Afternoon,98.42,1.0,Neutral,31.6977
5035,Fitness First,Episode 49,96.88,Health,73.47,Wednesday,Night,,0.0,Negative,81.75533
5036,Detective Diaries,Episode 58,116.78,True Crime,84.65,Thursday,Morning,45.71,2.0,Positive,97.31
5037,Home & Living,Episode 29,117.99,Lifestyle,29.03,Tuesday,Evening,55.39,2.0,Positive,87.73325
5038,Detective Diaries,Episode 72,64.02,True Crime,22.6,Friday,Evening,92.04,2.0,Negative,60.97447
5039,News Roundup,Episode 49,,News,96.64,Saturday,Night,11.47,2.0,Negative,2.56944
5040,Mystery Matters,Episode 41,113.26,True Crime,68.47,Sunday,Evening,3.37,1.0,Neutral,64.09469
5041,Crime Chronicles,Episode 45,67.0,True Crime,77.0,Monday,Afternoon,96.56,1.0,Positive,41.51741
5042,Comedy Corner,Episode 5,58.96,Comedy,66.87,Sunday,Afternoon,26.88,1.0,Positive,50.3732
5043,Music Matters,Episode 90,18.84,Music,91.83,Monday,Night,45.65,2.0,Positive,4.62869
5044,Sound Waves,Episode 50,62.56,Music,84.39,Thursday,Afternoon,55.74,2.0,Negative,40.32108
5045,Athlete's Arena,Episode 8,61.53,Sports,70.72,Friday,Morning,28.72,3.0,Negative,57.80774
5046,Game Day,Episode 82,,Sports,67.73,Thursday,Night,23.01,1.0,Neutral,44.14934
5047,Funny Folks,Episode 28,19.03,Comedy,22.5,Thursday,Night,11.53,1.0,Negative,8.39
5048,Detective Diaries,Episode 65,52.48,True Crime,58.66,Saturday,Night,75.85,3.0,Neutral,33.20289
5049,Sports Central,Episode 66,6.6,Sports,34.55,Sunday,Morning,,1.0,Negative,0.0
5050,Daily Digest,Episode 65,43.09,News,44.1,Monday,Evening,68.91,2.0,Negative,30.92236
5051,Healthy Living,Episode 52,10.22,Health,68.9,Tuesday,Night,80.68,2.0,Negative,6.10082
5052,Detective Diaries,Episode 20,94.18,True Crime,93.0,Wednesday,Afternoon,47.15,3.0,Neutral,80.00677
5053,Laugh Line,Episode 6,100.41,Comedy,83.09,Sunday,Night,72.79,1.0,Neutral,95.85623
5054,Sport Spot,Episode 40,80.72,Sports,89.1,Friday,Evening,,3.0,Positive,65.29596
5055,Market Masters,Episode 34,99.25,Business,63.22,Sunday,Morning,,0.0,Negative,78.43
5056,Laugh Line,Episode 13,57.87,Comedy,56.71,Wednesday,Evening,6.08,0.0,Neutral,54.57733
5057,Healthy Living,Episode 77,74.46,Health,28.64,Saturday,Afternoon,58.23,3.0,Neutral,42.04297
5058,Sports Weekly,Episode 9,73.02,Sports,63.1,Monday,Morning,45.49,2.0,Neutral,60.27656
5059,Comedy Corner,Episode 76,,Comedy,53.29,Monday,Morning,,3.0,Neutral,41.7442
5060,Sports Central,Episode 48,,Sports,37.21,Saturday,Evening,41.29,3.0,Neutral,59.91374
5061,Fitness First,Episode 84,5.87,Health,33.94,Saturday,Night,17.96,3.0,Neutral,0.0
5062,Lifestyle Lounge,Episode 89,32.55,Lifestyle,77.06,Sunday,Afternoon,26.27,2.0,Neutral,15.65354
5063,Lifestyle Lounge,Episode 41,70.68,Lifestyle,31.99,Wednesday,Afternoon,53.34,0.0,Negative,48.72911
5064,Business Insights,Episode 65,,Business,59.66,Sunday,Afternoon,66.72,3.0,Neutral,39.52058
5065,Criminal Minds,Episode 85,52.22,True Crime,68.39,Thursday,Evening,41.47,0.0,Positive,38.38158
5066,Humor Hub,Episode 61,114.6,Comedy,21.8,Saturday,Evening,60.41,0.0,Positive,111.15093
5067,Business Insights,Episode 31,32.53,Business,75.78,Sunday,Evening,47.01,2.0,Positive,27.49442
5068,Tune Time,Episode 41,114.31,Music,35.15,Monday,Morning,75.6,2.0,Neutral,80.97984
5069,Style Guide,Episode 45,94.18,Lifestyle,93.16,Friday,Night,40.18,1.0,Positive,56.48226
5070,Game Day,Episode 28,98.05,Sports,74.79,Friday,Evening,29.79,2.0,Negative,42.70606
5071,Gadget Geek,Episode 61,94.16,Technology,29.7,Tuesday,Evening,77.85,0.0,Positive,56.95229
5072,Current Affairs,Episode 78,80.61,News,93.82,Monday,Morning,60.81,3.0,Negative,59.10895
5073,Comedy Corner,Episode 81,,Comedy,59.05,Tuesday,Evening,80.22,0.0,Neutral,41.68152
5074,Tech Talks,Episode 34,21.48,Technology,68.42,Thursday,Afternoon,62.0,3.0,Neutral,17.67091
5075,Sport Spot,Episode 64,75.21,Sports,80.18,Sunday,Afternoon,2.78,2.0,Negative,57.05147
5076,Current Affairs,Episode 24,75.07,News,29.24,Sunday,Afternoon,,0.0,Negative,54.87867
5077,Market Masters,Episode 26,81.03,Business,82.43,Wednesday,Night,16.24,1.0,Negative,63.01551
5078,Game Day,Episode 10,110.12,Sports,94.04,Thursday,Evening,45.83,1.0,Neutral,75.77794
5079,Humor Hub,Episode 64,68.66,Comedy,82.27,Wednesday,Afternoon,55.59,3.0,Negative,49.23113
5080,Current Affairs,Episode 78,24.22,News,21.51,Tuesday,Evening,,3.0,Negative,16.51913
5081,Innovators,Episode 80,73.06,Technology,29.15,Friday,Morning,85.38,0.0,Negative,66.79435
5082,Humor Hub,Episode 20,107.4,Comedy,30.82,Sunday,Afternoon,58.24,0.0,Negative,102.95234
5083,Crime Chronicles,Episode 31,62.84,True Crime,21.75,Wednesday,Morning,45.43,0.0,Positive,49.35355
5084,Educational Nuggets,Episode 56,67.31,Education,22.5,Friday,Night,82.45,2.0,Positive,53.72131
5085,Sports Central,Episode 61,92.34,Sports,57.57,Monday,Night,,2.0,Positive,68.88371
5086,Home & Living,Episode 54,55.96,Lifestyle,22.65,Friday,Night,,2.0,Positive,31.22375
5087,Joke Junction,Episode 54,75.31,Comedy,23.54,Thursday,Afternoon,64.71,3.0,Negative,53.29162
5088,Humor Hub,Episode 12,70.94,Comedy,58.66,Thursday,Morning,93.63,2.0,Positive,44.55871
5089,Sports Weekly,Episode 91,28.27,Sports,54.85,Thursday,Morning,65.15,3.0,Positive,19.48371
5090,True Crime Stories,Episode 5,49.99,True Crime,90.36,Sunday,Evening,,1.0,Positive,33.14189
5091,Athlete's Arena,Episode 40,,Sports,30.88,Thursday,Morning,58.75,0.0,Negative,21.76808
5092,Music Matters,Episode 40,,Music,47.65,Friday,Afternoon,67.62,3.0,Neutral,22.58418
5093,World Watch,Episode 5,29.82,News,27.44,Monday,Evening,98.9,2.0,Negative,24.04
5094,Melody Mix,Episode 69,20.21,Music,42.9,Thursday,Night,39.53,1.0,Neutral,11.19068
5095,Tech Talks,Episode 84,83.44,Technology,82.76,Saturday,Afternoon,27.37,1.0,Positive,76.31896
5096,Life Lessons,Episode 33,53.5,Lifestyle,70.85,Sunday,Night,67.07,1.0,Neutral,43.07381
5097,Lifestyle Lounge,Episode 8,109.23,Lifestyle,53.29,Friday,Night,2.27,3.0,Positive,64.77188
5098,Humor Hub,Episode 70,81.35,Comedy,32.0,Tuesday,Night,89.83,3.0,Positive,65.79497
5099,Mind & Body,Episode 61,58.93,Health,48.9,Saturday,Afternoon,9.71,2.0,Positive,52.45907
5100,Fitness First,Episode 5,34.72,Health,26.82,Monday,Night,,3.0,Negative,24.44558
5101,Criminal Minds,Episode 41,9.03,True Crime,70.94,Sunday,Morning,38.71,1.0,Positive,1.0504
5102,True Crime Stories,Episode 99,107.48,True Crime,26.52,Saturday,Night,95.86,0.0,Positive,80.90723
5103,Business Briefs,Episode 36,,Business,58.63,Tuesday,Evening,66.73,0.0,Neutral,78.46
5104,Music Matters,Episode 79,8.1,Music,94.77,Friday,Afternoon,,1.0,Neutral,3.50543
5105,Learning Lab,Episode 5,24.07,Education,79.68,Wednesday,Evening,83.36,0.0,Positive,18.05429
5106,Sound Waves,Episode 74,84.08,Music,21.71,Monday,Afternoon,,1.0,Neutral,48.84913
5107,Sport Spot,Episode 7,72.38,Sports,37.63,Wednesday,Afternoon,16.71,3.0,Neutral,35.34927
5108,Sound Waves,Episode 71,77.39,Music,43.79,Wednesday,Afternoon,36.27,1.0,Positive,61.96413
5109,Crime Chronicles,Episode 61,21.79,True Crime,73.56,Saturday,Night,,2.0,Positive,14.11419
5110,Athlete's Arena,Episode 74,,Sports,74.47,Sunday,Afternoon,83.53,0.0,Positive,9.38799
5111,Gadget Geek,Episode 61,118.82,Technology,80.33,Thursday,Evening,,2.0,Positive,118.28
5112,Fitness First,Episode 67,,Health,31.84,Saturday,Morning,69.72,2.0,Neutral,11.21394
5113,Wellness Wave,Episode 25,15.99,Health,30.03,Saturday,Night,29.39,0.0,Neutral,6.63434
5114,Tech Trends,Episode 78,53.94,Technology,72.73,Saturday,Night,38.9,2.0,Neutral,35.07954
5115,Business Briefs,Episode 31,75.35,Business,81.34,Monday,Afternoon,74.86,0.0,Neutral,61.53849
5116,Comedy Corner,Episode 68,103.13,Comedy,84.54,Thursday,Morning,12.18,0.0,Positive,54.90604
5117,Fitness First,Episode 73,67.96,Health,75.61,Friday,Afternoon,68.49,2.0,Positive,49.16305
5118,Criminal Minds,Episode 78,,True Crime,48.31,Monday,Night,93.86,3.0,Neutral,25.71387
5119,Sport Spot,Episode 63,34.05,Sports,64.47,Friday,Morning,68.46,3.0,Negative,18.37
5120,Game Day,Episode 92,107.54,Sports,74.83,Saturday,Morning,79.53,1.0,Neutral,71.92914
